dataset,router,n,successful_n,preference_valid_n,posthoc_utility_valid_n,utility_valid_n,status_counts,test_preference_count_mean,test_preference_auc_mean,test_preference_auc_std,test_preference_auc_ci95_low,test_preference_auc_ci95_high,decision_threshold_mean,utility_threshold_mean,test_balanced_accuracy_mean,test_routing_accuracy_mean,test_routed_node_accuracy_mean,test_fixed_050_routed_node_accuracy_mean,test_utility_routed_node_accuracy_mean,test_utility_switch_rate_mean,test_utility_checkpoint_routed_node_accuracy_mean,test_utility_checkpoint_switch_rate_mean,test_majority_routing_accuracy_mean,test_majority_balanced_accuracy_mean,test_majority_routed_node_accuracy_mean,validation_best_expert_test_accuracy_mean,validation_selected_fixed_alpha_mean,validation_selected_fixed_alpha_test_accuracy_mean,test_oracle_union_accuracy_mean
Actor,reliability_only,10,10,10,10,10,ok:10,440.8,0.5282543899311563,0.02576337911914406,0.5098243787566807,0.5466844011056318,0.5301527887582779,0.7608554780483247,0.5157203872404066,0.5246431842270839,0.3351973831653595,0.3280921161174774,0.35164475440979004,0.04223684342578053,0.35105264782905576,0.051447370927780865,0.5846459920274599,0.5,0.35263159275054934,0.35263159275054934,0.1,0.35348685681819914,0.47309212386608124
Actor,node_feature_only,10,10,10,10,10,ok:10,440.8,0.5276832783203967,0.04018479387289217,0.4989368085077054,0.5564297481330881,0.5246231585741044,0.7514953881502152,0.5172396368161067,0.513229120505314,0.3319736927747726,0.33046054244041445,0.3528947502374649,0.07848684508353472,0.35223685801029203,0.10506579522043466,0.5846459920274599,0.5,0.35263159275054934,0.35263159275054934,0.1,0.35348685681819914,0.47309212386608124
Actor,combined,10,10,10,10,10,ok:10,440.8,0.5361857398510701,0.018338236004227376,0.523067356081802,0.5493041236203382,0.3735512189567089,0.7912674248218536,0.5205464283595049,0.503867451627855,0.3291447520256042,0.33953948616981505,0.35256580710411073,0.057828950532712045,0.3506579101085663,0.10125000479165465,0.5846459920274599,0.5,0.35263159275054934,0.35263159275054934,0.1,0.35348685681819914,0.47309212386608124
Amazon-ratings,reliability_only,10,10,10,10,10,ok:10,132.5,0.5231428294432449,0.10208419883128411,0.45011619281699894,0.5961694660694907,0.56689373254776,0.1823064625263214,0.5195582479035636,0.5311930764169082,0.3686264842748642,0.3682835191488266,0.36893679201602936,0.09897109046578408,0.3686918139457703,0.0759105006698519,0.6617239665826741,0.5,0.3686428189277649,0.3686428189277649,1.0,0.3686428189277649,0.37911154627799987
Amazon-ratings,node_feature_only,10,10,10,10,10,ok:10,132.5,0.4838804701593363,0.12210376139718539,0.39653270119670725,0.5712282391219653,0.4922219939529896,0.20167134404182435,0.4814484132574023,0.45521467955041056,0.3689857840538025,0.36918177008628844,0.3696880578994751,0.21317981481552123,0.3692797601222992,0.17484893258661033,0.6617239665826741,0.5,0.3686428189277649,0.3686428189277649,1.0,0.3686428189277649,0.37911154627799987
Amazon-ratings,combined,10,10,10,10,10,ok:10,132.5,0.5695140433319663,0.0572632091351221,0.5285504112181021,0.6104776754458305,0.5396895319223404,0.27941720485687255,0.5164095116013128,0.49844772977989016,0.3684468328952789,0.36870814561843873,0.36869181096553805,0.11803037822246551,0.36880613267421725,0.10096358082955703,0.6617239665826741,0.5,0.3686428189277649,0.3686428189277649,1.0,0.3686428189277649,0.37911154627799987
Chameleon,reliability_only,10,10,10,10,10,ok:10,168.5,0.6614325378852464,0.03729973840155919,0.6347499124281325,0.6881151633423602,0.49533588588237765,0.1455993637442589,0.6120769858833026,0.5956804912381815,0.5881578922271729,0.5853070139884948,0.6254386007785797,0.02916666716337204,0.6256578981876373,0.07083333283662796,0.7094723384912978,0.5,0.6296052634716034,0.6296052634716034,0.95,0.6307017564773559,0.7370614111423492
Chameleon,node_feature_only,10,10,10,10,10,ok:10,168.5,0.5781196672561933,0.040031411492089955,0.5494829205888658,0.6067564139235209,0.5940002381801606,0.10281858865637332,0.5414141972060179,0.5280356211691057,0.5627193033695221,0.5576754361391068,0.6271929860115051,0.019736842159181832,0.6276315748691559,0.020175438653677703,0.7094723384912978,0.5,0.6296052634716034,0.6296052634716034,0.95,0.6307017564773559,0.7370614111423492
Chameleon,combined,10,10,10,10,10,ok:10,168.5,0.6388264590850649,0.041907973866354795,0.6088473005637891,0.6688056176063406,0.666321974992752,0.09899839889258147,0.5967921812066811,0.5931946999980146,0.5866228103637695,0.6013158023357391,0.6252193093299866,0.047587719094008205,0.6234649181365967,0.0782894735224545,0.7094723384912978,0.5,0.6296052634716034,0.6296052634716034,0.95,0.6307017564773559,0.7370614111423492
Citeseer,reliability_only,10,10,10,10,10,ok:10,328.3,0.5096058529632709,0.04063183583131168,0.4805395885983576,0.5386721173281842,0.5163690656423569,0.1146226167678833,0.516959140835869,0.5840725914518453,0.6329000294208527,0.6421000301837921,0.6915000319480896,0.010200000554323196,0.6907000303268432,0.01580000026151538,0.7670971335048935,0.5,0.6931000292301178,0.6931000292301178,0.975,0.6929000318050385,0.7695000290870666
Citeseer,node_feature_only,10,10,10,10,10,ok:10,328.3,0.5341699128208365,0.04457714843742713,0.5022813418368557,0.5660584838048173,0.561121329665184,0.0,0.5349125694719983,0.5634382691759107,0.6258000314235688,0.6441000282764435,0.6931000292301178,0.0,0.6931000351905823,0.010000000521540642,0.7670971335048935,0.5,0.6931000292301178,0.6931000292301178,0.975,0.6929000318050385,0.7695000290870666
Citeseer,combined,10,10,10,10,10,ok:10,328.3,0.5241284507413149,0.045673431982517596,0.49145564575243217,0.5568012557301976,0.5439422130584717,0.03938875794410705,0.5234130632656414,0.5890145822604423,0.6347000241279602,0.6373000383377075,0.6915000319480896,0.007800000160932541,0.6908000409603119,0.013700000266544521,0.7670971335048935,0.5,0.6931000292301178,0.6931000292301178,0.975,0.6929000318050385,0.7695000290870666
Cora,reliability_only,10,10,10,10,10,ok:10,365.8,0.556708837952,0.053099996574725646,0.5187233886943128,0.5946942872096872,0.6560465425252915,0.045070065185427666,0.5459657184719549,0.5717377205415946,0.7028000295162201,0.7383000314235687,0.8068000435829162,0.006200000178068876,0.8072000443935394,0.004900000197812915,0.8601230931177394,0.5,0.8082000434398651,0.8082000434398651,1.0,0.8082000434398651,0.8594000399112701
Cora,node_feature_only,10,10,10,10,10,ok:10,365.8,0.5139438699835198,0.038374499155307676,0.48649240699892676,0.5413953329681129,0.7111036628484726,0.0,0.5137927620759664,0.5019305700929894,0.6771000266075134,0.7522000312805176,0.8082000434398651,0.0,0.8082000434398651,0.0,0.8601230931177394,0.5,0.8082000434398651,0.8082000434398651,1.0,0.8082000434398651,0.8594000399112701
Cora,combined,10,10,10,10,10,ok:10,365.8,0.5657073473931402,0.04327974556876534,0.5347468825111057,0.5966678122751747,0.6026807874441147,0.0,0.5378044499816979,0.6347634501829982,0.7259000420570374,0.7525000393390655,0.8082000434398651,0.0,0.8084000468254089,0.0015000000596046448,0.8601230931177394,0.5,0.8082000434398651,0.8082000434398651,1.0,0.8082000434398651,0.8594000399112701
Minesweeper,reliability_only,10,10,0,10,10,ok_utility_only:10,0.0,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0.7999999523162842,0.7999999523162842,0.0,0.7999999523162842,0.0,nan,nan,nan,0.7999999523162842,1.0,0.7999999523162842,0.7999999523162842
Minesweeper,node_feature_only,10,10,0,10,10,ok_utility_only:10,0.0,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0.7999999523162842,0.7999999523162842,0.0,0.7999999523162842,0.0,nan,nan,nan,0.7999999523162842,1.0,0.7999999523162842,0.7999999523162842
Minesweeper,combined,10,10,0,10,10,ok_utility_only:10,0.0,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0.7999999523162842,0.7999999523162842,0.0,0.7999999523162842,0.0,nan,nan,nan,0.7999999523162842,1.0,0.7999999523162842,0.7999999523162842
Pubmed,reliability_only,10,10,10,10,10,ok:10,211.9,0.5216586380414203,0.043418917183042034,0.4905986157839954,0.5527186602988452,0.5608329147100448,0.13153992891311644,0.49623982152861923,0.49853636455468925,0.7354000329971313,0.7466000378131866,0.7684000253677368,0.009500000486150384,0.7683000266551971,0.011500000627711416,0.6550651665897443,0.5,0.7687000274658203,0.7687000274658203,0.975,0.7696000277996063,0.8418000400066376
Pubmed,node_feature_only,10,10,10,10,10,ok:10,211.9,0.49546553652736247,0.045715278244325336,0.46276279652610586,0.5281682765286191,0.5473581105470657,0.12790473662316798,0.5012617227496495,0.5503676859582378,0.7467000424861908,0.7474000334739686,0.7683000326156616,0.005600000254344195,0.766700029373169,0.018700001563411207,0.6550651665897443,0.5,0.7687000274658203,0.7687000274658203,0.975,0.7696000277996063,0.8418000400066376
Pubmed,combined,10,10,10,10,10,ok:10,211.9,0.5074420770378124,0.041286192475951736,0.4779077141281765,0.5369764399474484,0.5994224101305008,0.0,0.4948127119753216,0.4517709080277543,0.7255000352859498,0.7347000360488891,0.7687000274658203,0.0,0.7677000343799592,0.005400000046938658,0.6550651665897443,0.5,0.7687000274658203,0.7687000274658203,0.975,0.7696000277996063,0.8418000400066376
Roman-empire,reliability_only,10,10,10,10,10,ok:10,2638.9,0.7222578784949572,0.01094560491920079,0.7144278644257869,0.7300878925641274,0.5052530139684677,0.867832350730896,0.6656107012923711,0.6088228420705659,0.5444405019283295,0.541934335231781,0.6602541327476501,0.009283444844186306,0.6599187970161438,0.010677726421272382,0.8569057411985219,0.5,0.6598834931850434,0.6598834931850434,0.45,0.6743028342723847,0.7265266239643097
Roman-empire,node_feature_only,10,10,10,10,10,ok:10,2638.9,0.79059305164489,0.011365699752591404,0.7824625198354838,0.7987235834542963,0.38905052542686464,0.9422280430793764,0.7226212417775697,0.6322212903119224,0.5552770793437958,0.5832686066627503,0.6596893548965455,0.0025944227614672854,0.6598834991455078,0.012266148440539837,0.8569057411985219,0.5,0.6598834931850434,0.6598834931850434,0.45,0.6743028342723847,0.7265266239643097
Roman-empire,combined,10,10,10,10,10,ok:10,2638.9,0.8521929540245998,0.012011541272790666,0.843600415023545,0.8607854930256547,0.44451900124549865,0.8681822419166565,0.7713307703833222,0.7404860211732845,0.6057359516620636,0.6167843163013458,0.6661665797233581,0.05635368749499321,0.666431325674057,0.0588245652616024,0.8569057411985219,0.5,0.6598834931850434,0.6598834931850434,0.45,0.6743028342723847,0.7265266239643097
Squirrel,reliability_only,10,10,10,10,10,ok:10,417.9,0.5871924163648727,0.0342413608971468,0.5626976223766597,0.6116872103530858,0.4841343104839325,0.10753003358840943,0.5645535563533609,0.5878240238397273,0.41268010437488556,0.4060518592596054,0.44505282044410704,0.017867433954961598,0.4437079578638077,0.07060518627986312,0.6686001788594083,0.5,0.44486069679260254,0.44486069679260254,1.0,0.44486069679260254,0.5780019044876099
Squirrel,node_feature_only,10,10,10,10,10,ok:10,417.9,0.5267632361619052,0.028784991006082967,0.5061716940568916,0.5473547782669189,0.6155606493353843,0.0381461183891588,0.5237813422515737,0.5420607403361778,0.394524484872818,0.39971180260181427,0.44447645246982576,0.0019212294835597276,0.4439000844955444,0.010278577799908817,0.6686001788594083,0.5,0.44486069679260254,0.44486069679260254,1.0,0.44486069679260254,0.5780019044876099
Squirrel,combined,10,10,10,10,10,ok:10,417.9,0.5786190686431008,0.044670056751853406,0.5466640350547713,0.6105741022314302,0.6221030324697494,0.2326285704770754,0.5649381501301768,0.5754904485198725,0.40778096914291384,0.4147934585809708,0.44486069679260254,0.02468779964838177,0.4443803936243057,0.06311238892376422,0.6686001788594083,0.5,0.44486069679260254,0.44486069679260254,1.0,0.44486069679260254,0.5780019044876099
