dataset,router,comparison,n,mean_delta,ci95_low,ci95_high,wins,ties,losses
Cora,reliability_only,utility routing - validation-selected best expert,10,-0.0013999998569488525,-0.002798559586292065,-1.4401276056399352e-06,0,6,4
Cora,reliability_only,utility-checkpoint routing - validation-selected best expert,10,-0.0009999990463256836,-0.0021184402331041498,0.00011844214045278272,0,5,5
Cora,reliability_only,utility routing - validation-selected fixed alpha,10,-0.0013999998569488525,-0.002798559586292065,-1.4401276056399352e-06,0,6,4
Cora,reliability_only,utility-checkpoint routing - validation-selected fixed alpha,10,-0.0009999990463256836,-0.0021184402331041498,0.00011844214045278272,0,5,5
Cora,node_feature_only,utility routing - validation-selected best expert,10,0.0,0.0,0.0,0,10,0
Cora,node_feature_only,utility-checkpoint routing - validation-selected best expert,10,0.0,0.0,0.0,0,10,0
Cora,node_feature_only,utility routing - validation-selected fixed alpha,10,0.0,0.0,0.0,0,10,0
Cora,node_feature_only,utility-checkpoint routing - validation-selected fixed alpha,10,0.0,0.0,0.0,0,10,0
Cora,combined,utility routing - validation-selected best expert,10,0.0,0.0,0.0,0,10,0
Cora,combined,utility-checkpoint routing - validation-selected best expert,10,0.00020000338554382324,-0.0002524357056592065,0.000652442476746853,1,9,0
Cora,combined,utility routing - validation-selected fixed alpha,10,0.0,0.0,0.0,0,10,0
Cora,combined,utility-checkpoint routing - validation-selected fixed alpha,10,0.00020000338554382324,-0.0002524357056592065,0.000652442476746853,1,9,0
Citeseer,reliability_only,utility routing - validation-selected best expert,10,-0.0015999972820281982,-0.004730904114904223,0.0015309095508478257,0,7,3
Citeseer,reliability_only,utility-checkpoint routing - validation-selected best expert,10,-0.0023999989032745363,-0.0056902939094078415,0.0008902961028587693,0,7,3
Citeseer,reliability_only,utility routing - validation-selected fixed alpha,10,-0.0013999998569488525,-0.00462042871433762,0.0018204290004399152,1,6,3
Citeseer,reliability_only,utility-checkpoint routing - validation-selected fixed alpha,10,-0.0022000014781951905,-0.005602437970471653,0.0012024350140812713,1,6,3
Citeseer,node_feature_only,utility routing - validation-selected best expert,10,0.0,0.0,0.0,0,10,0
Citeseer,node_feature_only,utility-checkpoint routing - validation-selected best expert,10,5.960464477539063e-09,-0.0015453523852865785,0.0015453643062155334,1,7,2
Citeseer,node_feature_only,utility routing - validation-selected fixed alpha,10,0.0001999974250793457,-0.0002524281826162722,0.0006524230327749636,1,9,0
Citeseer,node_feature_only,utility-checkpoint routing - validation-selected fixed alpha,10,0.00020000338554382324,-0.0010973315193598143,0.0014973382904474608,1,7,2
Citeseer,combined,utility routing - validation-selected best expert,10,-0.0015999972820281982,-0.005219442594115378,0.002019448030058981,0,9,1
Citeseer,combined,utility-checkpoint routing - validation-selected best expert,10,-0.0022999882698059083,-0.006101035469915573,0.0015010589303037568,1,6,3
Citeseer,combined,utility routing - validation-selected fixed alpha,10,-0.0013999998569488525,-0.005097156710064825,0.0022971569961671204,1,8,1
Citeseer,combined,utility-checkpoint routing - validation-selected fixed alpha,10,-0.0020999908447265625,-0.00596629587709461,0.001766314187641485,2,6,2
Pubmed,reliability_only,utility routing - validation-selected best expert,10,-0.0003000020980834961,-0.0012567881048513036,0.0006567839086843114,1,8,1
Pubmed,reliability_only,utility-checkpoint routing - validation-selected best expert,10,-0.0004000008106231689,-0.0013656592366788035,0.0005656576154324656,1,7,2
Pubmed,reliability_only,utility routing - validation-selected fixed alpha,10,-0.0012000024318695069,-0.0033802447459752617,0.0009802398822362482,1,7,2
Pubmed,reliability_only,utility-checkpoint routing - validation-selected fixed alpha,10,-0.0013000011444091798,-0.003460595382209218,0.0008605930933908586,1,6,3
Pubmed,node_feature_only,utility routing - validation-selected best expert,10,-0.0003999948501586914,-0.0013656581897161025,0.0005656684893987198,1,7,2
Pubmed,node_feature_only,utility-checkpoint routing - validation-selected best expert,10,-0.0019999980926513673,-0.004780799345003375,0.0007808031597006408,0,7,3
Pubmed,node_feature_only,utility routing - validation-selected fixed alpha,10,-0.001299995183944702,-0.00368571127330089,0.0010857209054114857,1,7,2
Pubmed,node_feature_only,utility-checkpoint routing - validation-selected fixed alpha,10,-0.002899998426437378,-0.006631602541703628,0.0008316056888288716,0,7,3
Pubmed,combined,utility routing - validation-selected best expert,10,0.0,0.0,0.0,0,10,0
Pubmed,combined,utility-checkpoint routing - validation-selected best expert,10,-0.000999993085861206,-0.002784397041476624,0.0007844108697542119,0,7,3
Pubmed,combined,utility routing - validation-selected fixed alpha,10,-0.0009000003337860107,-0.0029359425354311152,0.0011359418678590937,0,9,1
Pubmed,combined,utility-checkpoint routing - validation-selected fixed alpha,10,-0.0018999934196472167,-0.004411107478428725,0.0006111206391342912,0,6,4
Chameleon,reliability_only,utility routing - validation-selected best expert,10,-0.004166662693023682,-0.010373819424900814,0.0020404940388534503,1,5,4
Chameleon,reliability_only,utility-checkpoint routing - validation-selected best expert,10,-0.003947365283966065,-0.01166112225544539,0.0037663916875132607,3,3,4
Chameleon,reliability_only,utility routing - validation-selected fixed alpha,10,-0.0052631556987762455,-0.01128017372784252,0.0007538623302900298,1,3,6
Chameleon,reliability_only,utility-checkpoint routing - validation-selected fixed alpha,10,-0.005043858289718628,-0.012836970906954386,0.002749254327517132,3,3,4
Chameleon,node_feature_only,utility routing - validation-selected best expert,10,-0.0024122774600982668,-0.006493074577799363,0.0016685196576028292,0,8,2
Chameleon,node_feature_only,utility-checkpoint routing - validation-selected best expert,10,-0.0019736886024475098,-0.005918194837776301,0.001970817632881282,0,8,2
Chameleon,node_feature_only,utility routing - validation-selected fixed alpha,10,-0.00350877046585083,-0.008138916378945031,0.0011213754472433704,0,7,3
Chameleon,node_feature_only,utility-checkpoint routing - validation-selected fixed alpha,10,-0.003070181608200073,-0.0070663430050661065,0.0009259797886659597,0,6,4
Chameleon,combined,utility routing - validation-selected best expert,10,-0.004385954141616822,-0.009004267327002151,0.0002323590437685076,0,5,5
Chameleon,combined,utility-checkpoint routing - validation-selected best expert,10,-0.0061403453350067135,-0.011762668909142664,-0.0005180217608707627,1,2,7
Chameleon,combined,utility routing - validation-selected fixed alpha,10,-0.005482447147369385,-0.010828019127978279,-0.0001368751667604898,0,4,6
Chameleon,combined,utility-checkpoint routing - validation-selected fixed alpha,10,-0.007236838340759277,-0.01287130004312377,-0.001602376638394785,0,3,7
Squirrel,reliability_only,utility routing - validation-selected best expert,10,0.0001921236515045166,-0.0002424902429001104,0.0006267375459091437,1,9,0
Squirrel,reliability_only,utility-checkpoint routing - validation-selected best expert,10,-0.0011527389287948608,-0.0025194451139754644,0.00021396725638574273,2,1,7
Squirrel,reliability_only,utility routing - validation-selected fixed alpha,10,0.0001921236515045166,-0.0002424902429001104,0.0006267375459091437,1,9,0
Squirrel,reliability_only,utility-checkpoint routing - validation-selected fixed alpha,10,-0.0011527389287948608,-0.0025194451139754644,0.00021396725638574273,2,1,7
Squirrel,node_feature_only,utility routing - validation-selected best expert,10,-0.00038424432277679444,-0.0014188282389554874,0.0006503395934018986,1,7,2
Squirrel,node_feature_only,utility-checkpoint routing - validation-selected best expert,10,-0.0009606122970581054,-0.0026123933235187875,0.0006911687294025765,2,4,4
Squirrel,node_feature_only,utility routing - validation-selected fixed alpha,10,-0.00038424432277679444,-0.0014188282389554874,0.0006503395934018986,1,7,2
Squirrel,node_feature_only,utility-checkpoint routing - validation-selected fixed alpha,10,-0.0009606122970581054,-0.0026123933235187875,0.0006911687294025765,2,4,4
Squirrel,combined,utility routing - validation-selected best expert,10,0.0,-0.0017141327190111247,0.0017141327190111247,3,4,3
Squirrel,combined,utility-checkpoint routing - validation-selected best expert,10,-0.00048030316829681394,-0.003345848535145806,0.002385242198552178,5,1,4
Squirrel,combined,utility routing - validation-selected fixed alpha,10,0.0,-0.0017141327190111247,0.0017141327190111247,3,4,3
Squirrel,combined,utility-checkpoint routing - validation-selected fixed alpha,10,-0.00048030316829681394,-0.003345848535145806,0.002385242198552178,5,1,4
Actor,reliability_only,utility routing - validation-selected best expert,10,-0.0009868383407592774,-0.0030472387279624814,0.0010735620464439265,1,6,3
Actor,reliability_only,utility-checkpoint routing - validation-selected best expert,10,-0.0015789449214935302,-0.002895209846269902,-0.0002626799967171585,0,3,7
Actor,reliability_only,utility routing - validation-selected fixed alpha,10,-0.0018421024084091186,-0.00404731533436741,0.00036311051754917304,1,3,6
