dataset,router,n,successful_n,preference_valid_n,posthoc_utility_valid_n,utility_valid_n,status_counts,test_preference_count_mean,test_preference_auc_mean,test_preference_auc_std,test_preference_auc_ci95_low,test_preference_auc_ci95_high,decision_threshold_mean,utility_threshold_mean,test_balanced_accuracy_mean,test_routing_accuracy_mean,test_routed_node_accuracy_mean,test_fixed_050_routed_node_accuracy_mean,test_utility_routed_node_accuracy_mean,test_utility_switch_rate_mean,test_utility_checkpoint_routed_node_accuracy_mean,test_utility_checkpoint_switch_rate_mean,test_majority_routing_accuracy_mean,test_majority_balanced_accuracy_mean,test_majority_routed_node_accuracy_mean,validation_best_expert_test_accuracy_mean,validation_selected_fixed_alpha_mean,validation_selected_fixed_alpha_test_accuracy_mean,test_oracle_union_accuracy_mean
Chameleon,reliability_only,1,1,1,1,1,ok:1,175.0,0.6160544217687076,0.0,nan,nan,0.5062741041183472,0.5039564371109009,0.5809523809523809,0.5885714285714285,0.5438596606254578,0.5482456088066101,0.5460526347160339,0.4517543911933899,0.5460526347160339,0.4517543911933899,0.6,0.5,0.5482456088066101,0.5482456088066101,0.75,0.5394737124443054,0.7017543911933899
Chameleon,node_feature_only,1,1,1,1,1,ok:1,175.0,0.5093877551020408,0.0,nan,nan,0.8712426424026489,0.8651708364486694,0.5071428571428571,0.49714285714285716,0.5087719559669495,0.5087719559669495,0.5087719559669495,0.5394737124443054,0.5328947305679321,0.22587719559669495,0.6,0.5,0.5482456088066101,0.5482456088066101,0.75,0.5394737124443054,0.7017543911933899
Chameleon,combined,1,1,1,1,1,ok:1,175.0,0.5964625850340135,0.0,nan,nan,0.6574403643608093,0.6412312388420105,0.5452380952380953,0.5371428571428571,0.5241228342056274,0.530701756477356,0.5219298005104065,0.5021929740905762,0.5328947305679321,0.35087719559669495,0.6,0.5,0.5482456088066101,0.5482456088066101,0.75,0.5394737124443054,0.7017543911933899
Cora,reliability_only,1,1,1,1,1,ok:1,362.0,0.5356012658227848,0.0,nan,nan,0.669568657875061,0.0,0.5407952669235002,0.2955801104972376,0.6020000576972961,0.7560000419616699,0.8110000491142273,0.0,0.8110000491142273,0.0,0.8729281767955801,0.5,0.8110000491142273,0.8110000491142273,1.0,0.8110000491142273,0.8570000529289246
Cora,node_feature_only,1,1,1,1,1,ok:1,362.0,0.47193175564116674,0.0,nan,nan,0.5448701977729797,0.0,0.4566593285635663,0.7486187845303868,0.7660000324249268,0.8110000491142273,0.8110000491142273,0.0,0.8110000491142273,0.0,0.8729281767955801,0.5,0.8110000491142273,0.8110000491142273,1.0,0.8110000491142273,0.8570000529289246
Cora,combined,1,1,1,1,1,ok:1,362.0,0.5223582828838745,0.0,nan,nan,0.7693477869033813,0.0,0.4984865162355531,0.2541436464088398,0.5870000123977661,0.7450000643730164,0.8110000491142273,0.0,0.8110000491142273,0.0,0.8729281767955801,0.5,0.8110000491142273,0.8110000491142273,1.0,0.8110000491142273,0.8570000529289246
Minesweeper,reliability_only,1,0,0,0,0,insufficient_preference_labels:1,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7999999523162842,1.0,0.7999999523162842,0.7999999523162842
Minesweeper,node_feature_only,1,0,0,0,0,insufficient_preference_labels:1,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7999999523162842,1.0,0.7999999523162842,0.7999999523162842
Minesweeper,combined,1,0,0,0,0,insufficient_preference_labels:1,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7999999523162842,1.0,0.7999999523162842,0.7999999523162842
Roman-empire,reliability_only,1,1,1,1,1,ok:1,2974.0,0.7953201113430759,0.0,nan,nan,0.6120671629905701,1.0000000000000002,0.7085281837160752,0.7817753866845999,0.5501235127449036,0.4158136248588562,0.6470173001289368,0.0,0.6468408107757568,0.0008824567194096744,0.9663752521856086,0.5,0.6470173001289368,0.6470173001289368,0.75,0.644546389579773,0.6646664142608643
Roman-empire,node_feature_only,1,1,1,1,1,ok:1,2974.0,0.8416997216423103,0.0,nan,nan,0.1906045377254486,1.0000000000000002,0.8046485734168407,0.734364492266308,0.5252382755279541,0.572361409664154,0.6470173001289368,0.0,0.6471937894821167,0.004059300757944584,0.9663752521856086,0.5,0.6470173001289368,0.6470173001289368,0.75,0.644546389579773,0.6646664142608643
Roman-empire,combined,1,1,1,1,1,ok:1,2974.0,0.8774077940153098,0.0,nan,nan,0.19334153831005096,1.0000000000000002,0.8062282533054976,0.8120376597175522,0.5660077333450317,0.597952663898468,0.6470173001289368,0.0,0.6470173001289368,0.0007059653871692717,0.9663752521856086,0.5,0.6470173001289368,0.6470173001289368,0.75,0.644546389579773,0.6646664142608643
