dataset,router,comparison,n,mean_delta,ci95_low,ci95_high,wins,ties,losses
Cora,reliability_only,utility routing - validation-selected best expert,1,0.0,nan,nan,0,1,0
Cora,reliability_only,utility-checkpoint routing - validation-selected best expert,1,0.0,nan,nan,0,1,0
Cora,reliability_only,utility routing - validation-selected fixed alpha,1,0.0,nan,nan,0,1,0
Cora,reliability_only,utility-checkpoint routing - validation-selected fixed alpha,1,0.0,nan,nan,0,1,0
Cora,node_feature_only,utility routing - validation-selected best expert,1,0.0,nan,nan,0,1,0
Cora,node_feature_only,utility-checkpoint routing - validation-selected best expert,1,0.0,nan,nan,0,1,0
Cora,node_feature_only,utility routing - validation-selected fixed alpha,1,0.0,nan,nan,0,1,0
Cora,node_feature_only,utility-checkpoint routing - validation-selected fixed alpha,1,0.0,nan,nan,0,1,0
Cora,combined,utility routing - validation-selected best expert,1,0.0,nan,nan,0,1,0
Cora,combined,utility-checkpoint routing - validation-selected best expert,1,0.0,nan,nan,0,1,0
Cora,combined,utility routing - validation-selected fixed alpha,1,0.0,nan,nan,0,1,0
Cora,combined,utility-checkpoint routing - validation-selected fixed alpha,1,0.0,nan,nan,0,1,0
Chameleon,reliability_only,utility routing - validation-selected best expert,1,-0.002192974090576172,nan,nan,0,0,1
Chameleon,reliability_only,utility-checkpoint routing - validation-selected best expert,1,-0.002192974090576172,nan,nan,0,0,1
Chameleon,reliability_only,utility routing - validation-selected fixed alpha,1,0.006578922271728516,nan,nan,1,0,0
Chameleon,reliability_only,utility-checkpoint routing - validation-selected fixed alpha,1,0.006578922271728516,nan,nan,1,0,0
Chameleon,node_feature_only,utility routing - validation-selected best expert,1,-0.039473652839660645,nan,nan,0,0,1
Chameleon,node_feature_only,utility-checkpoint routing - validation-selected best expert,1,-0.015350878238677979,nan,nan,0,0,1
Chameleon,node_feature_only,utility routing - validation-selected fixed alpha,1,-0.030701756477355957,nan,nan,0,0,1
Chameleon,node_feature_only,utility-checkpoint routing - validation-selected fixed alpha,1,-0.006578981876373291,nan,nan,0,0,1
Chameleon,combined,utility routing - validation-selected best expert,1,-0.026315808296203613,nan,nan,0,0,1
Chameleon,combined,utility-checkpoint routing - validation-selected best expert,1,-0.015350878238677979,nan,nan,0,0,1
Chameleon,combined,utility routing - validation-selected fixed alpha,1,-0.017543911933898926,nan,nan,0,0,1
Chameleon,combined,utility-checkpoint routing - validation-selected fixed alpha,1,-0.006578981876373291,nan,nan,0,0,1
Roman-empire,reliability_only,utility routing - validation-selected best expert,1,0.0,nan,nan,0,1,0
Roman-empire,reliability_only,utility-checkpoint routing - validation-selected best expert,1,-0.00017648935317993164,nan,nan,0,0,1
Roman-empire,reliability_only,utility routing - validation-selected fixed alpha,1,0.0024709105491638184,nan,nan,1,0,0
Roman-empire,reliability_only,utility-checkpoint routing - validation-selected fixed alpha,1,0.0022944211959838867,nan,nan,1,0,0
Roman-empire,node_feature_only,utility routing - validation-selected best expert,1,0.0,nan,nan,0,1,0
Roman-empire,node_feature_only,utility-checkpoint routing - validation-selected best expert,1,0.00017648935317993164,nan,nan,1,0,0
Roman-empire,node_feature_only,utility routing - validation-selected fixed alpha,1,0.0024709105491638184,nan,nan,1,0,0
Roman-empire,node_feature_only,utility-checkpoint routing - validation-selected fixed alpha,1,0.00264739990234375,nan,nan,1,0,0
Roman-empire,combined,utility routing - validation-selected best expert,1,0.0,nan,nan,0,1,0
Roman-empire,combined,utility-checkpoint routing - validation-selected best expert,1,0.0,nan,nan,0,1,0
Roman-empire,combined,utility routing - validation-selected fixed alpha,1,0.0024709105491638184,nan,nan,1,0,0
Roman-empire,combined,utility-checkpoint routing - validation-selected fixed alpha,1,0.0024709105491638184,nan,nan,1,0,0
Minesweeper,reliability_only,utility routing - validation-selected best expert,0,nan,nan,nan,0,0,0
Minesweeper,reliability_only,utility-checkpoint routing - validation-selected best expert,0,nan,nan,nan,0,0,0
Minesweeper,reliability_only,utility routing - validation-selected fixed alpha,0,nan,nan,nan,0,0,0
Minesweeper,reliability_only,utility-checkpoint routing - validation-selected fixed alpha,0,nan,nan,nan,0,0,0
Minesweeper,node_feature_only,utility routing - validation-selected best expert,0,nan,nan,nan,0,0,0
Minesweeper,node_feature_only,utility-checkpoint routing - validation-selected best expert,0,nan,nan,nan,0,0,0
Minesweeper,node_feature_only,utility routing - validation-selected fixed alpha,0,nan,nan,nan,0,0,0
Minesweeper,node_feature_only,utility-checkpoint routing - validation-selected fixed alpha,0,nan,nan,nan,0,0,0
Minesweeper,combined,utility routing - validation-selected best expert,0,nan,nan,nan,0,0,0
Minesweeper,combined,utility-checkpoint routing - validation-selected best expert,0,nan,nan,nan,0,0,0
Minesweeper,combined,utility routing - validation-selected fixed alpha,0,nan,nan,nan,0,0,0
Minesweeper,combined,utility-checkpoint routing - validation-selected fixed alpha,0,nan,nan,nan,0,0,0
